service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2021/10/01 04:00:00+00,Rail,Red Line,2676646,127459,21,3428527,110598,31,688
2021/10/01 04:00:00+00,Bus,Silver Line,505493,24071,21,656469,21176,31,689
2021/10/01 04:00:00+00,The RIDE,The RIDE,64281,3061,21,78976,2548,31,690
2021/11/01 04:00:00+00,Rail,Blue Line,806916,38425,21,1023665,34122,30,691
2021/11/01 04:00:00+00,Bus,Bus,4947040,235574,21,5877689,195923,30,692
2021/11/01 04:00:00+00,Commuter Rail,Commuter Rail,1122143,53435,21,1316818,43894,30,693
2021/11/01 04:00:00+00,Ferry,Ferry,37799,1800,21,40721,1357,30,694
2021/11/01 04:00:00+00,Rail,Green Line,2142171,102008,21,2698728,89958,30,695
2021/11/01 04:00:00+00,Rail,Orange Line,2180304,103824,21,2695651,89855,30,696
2021/11/01 04:00:00+00,Rail,Red Line,2517633,119887,21,3063867,102129,30,697
2021/11/01 04:00:00+00,Bus,Silver Line,489273,23299,21,611697,20390,30,698
2021/11/01 04:00:00+00,The RIDE,The RIDE,59934,2854,21,74533,2484,30,699
2021/12/01 05:00:00+00,Rail,Blue Line,786707,34205,23,976287,31493,31,700
2022/05/01 04:00:00+00,Rail,Red Line,2702706,128700,21,3483042,112356,31,701
2022/05/01 04:00:00+00,Bus,Silver Line,570479,27166,21,742657,23957,31,702
2022/05/01 04:00:00+00,The RIDE,The RIDE,71654,3257,21,85959,2773,31,703
2022/06/01 04:00:00+00,Rail,Blue Line,919814,41810,22,1152060,38402,30,704
2022/06/01 04:00:00+00,Bus,Bus,5276170,239826,22,6237320,207911,30,705
2022/06/01 04:00:00+00,Commuter Rail,Commuter Rail,1456140,66188,22,1629720,54324,30,706
2022/06/01 04:00:00+00,Ferry,Ferry,73004,3318,22,86766,2892,30,707
2022/06/01 04:00:00+00,Rail,Green Line,2176675,98940,22,2711185,90373,30,708
2022/06/01 04:00:00+00,Rail,Orange Line,2389392,108609,22,2869831,95661,30,709
2022/06/01 04:00:00+00,Rail,Red Line,2856478,129840,22,3431343,114378,30,710
2022/06/01 04:00:00+00,Bus,Silver Line,573015,26046,22,710409,23680,30,711
2022/06/01 04:00:00+00,The RIDE,The RIDE,73854,3357,22,87237,2908,30,712
2022/07/01 04:00:00+00,Rail,Blue Line,860415,43021,20,1208003,38968,31,713
2022/07/01 04:00:00+00,Bus,Bus,4625947,231297,20,5925119,191133,31,714
2022/07/01 04:00:00+00,Commuter Rail,Commuter Rail,1352286,67614,20,1554254,50137,31,715
2022/07/01 04:00:00+00,Ferry,Ferry,82336,4117,20,109055,3518,31,716
2022/07/01 04:00:00+00,Rail,Green Line,2326747,116337,20,3226221,104072,31,717
2022/07/01 04:00:00+00,Rail,Orange Line,1996881,99844,20,2611221,84233,31,718
2022/07/01 04:00:00+00,Rail,Red Line,2657985,132899,20,3391153,109392,31,719
2022/07/01 04:00:00+00,Bus,Silver Line,534787,26739,20,721943,23288,31,720
2022/07/01 04:00:00+00,The RIDE,The RIDE,67032,3352,20,82467,2660,31,721
2022/08/01 04:00:00+00,Rail,Blue Line,971488,42239,23,1228553,39631,31,722
2022/08/01 04:00:00+00,Bus,Bus,5297690,230334,23,6287095,202810,31,723
2022/08/01 04:00:00+00,Commuter Rail,Commuter Rail,1717271,74664,23,1875880,60512,31,724
2022/08/01 04:00:00+00,Ferry,Ferry,91008,3957,23,113439,3659,31,725
2022/08/01 04:00:00+00,Rail,Green Line,2432333,105754,23,3059510,98694,31,726
2022/08/01 04:00:00+00,Rail,Orange Line,1565944,68085,23,1848111,59616,31,727
2022/08/01 04:00:00+00,Rail,Red Line,2882976,125347,23,3488313,112526,31,728
2022/08/01 04:00:00+00,Bus,Silver Line,631876,27473,23,779211,25136,31,729
2022/08/01 04:00:00+00,The RIDE,The RIDE,76245,3466,23,89273,2880,31,730
2022/09/01 04:00:00+00,Rail,Blue Line,1013280,48251,21,1317882,43929,30,731
2022/09/01 04:00:00+00,Bus,Bus,5508602,262314,21,6616814,220560,30,732
2022/09/01 04:00:00+00,Commuter Rail,Commuter Rail,1731028,82430,21,1955305,65177,30,733
2022/09/01 04:00:00+00,Ferry,Ferry,75126,3415,21,92489,3083,30,734
2022/09/01 04:00:00+00,Rail,Green Line,2655913,126472,21,3454280,115143,30,735
2022/09/01 04:00:00+00,Rail,Orange Line,1184230,56392,21,1375056,45835,30,736
2022/09/01 04:00:00+00,Rail,Red Line,2929320,139491,21,3637251,121242,30,737
2022/09/01 04:00:00+00,Bus,Silver Line,600894,28614,21,743786,24793,30,738
2022/09/01 04:00:00+00,The RIDE,The RIDE,75614,3437,21,88976,2966,30,739
2022/10/01 04:00:00+00,Rail,Blue Line,983389,46828,21,1318541,42534,31,740
2022/10/01 04:00:00+00,Bus,Bus,5500695,261938,21,6775570,218567,31,741
2022/10/01 04:00:00+00,Commuter Rail,Commuter Rail,1764085,84004,21,2105849,67931,31,742
2022/10/01 04:00:00+00,Ferry,Ferry,68437,3111,21,79689,2571,31,743
